ImageNumber,ObjectNumber,Metadata_Channel,Metadata_FileLocation,Metadata_MaskLocation,Metadata_compound,Metadata_concentration,Metadata_imageBaseName,Metadata_pathBase,Metadata_plateName,Metadata_platePath,Metadata_posNum,Metadata_posPath,Metadata_timeNum,Metadata_wellNum,Metadata_wellPath,AreaShape_Center_X,AreaShape_Center_Y,Math_area_micronsq,TrackObjects_Label
78,1,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,362,12,1942.986,1
78,2,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,163,24,7971.226,2
78,3,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,102,34,1120.954,3
78,4,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,328,42,2416.278,4
78,5,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,345,63,6152.790,5
78,6,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,323,64,2914.479,6
78,7,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,379,69,3188.490,7
78,8,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,115,78,2167.177,8
78,9,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,61,97,7049.553,9
78,10,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0016--fsk_809--5\P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0016--fsk_809--5/P001--fsk_809--5/demoplate_01--fsk_809--5--W0016--P001--T0000--masks.tif,fsk_809,5,demoplate_01--fsk_809--5--W0016--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_809--5,0000,0016,W0016--fsk_809--5,100,106,6003.330,10
